baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged
4,1,2,60,2,0,245522987,0,2501839,66825034,2033248,1
4,1,2,60,5,0,215359682,0,1500328,64273383,1355916,1
4,1,2,60,10,0,2047791082,0,2501902,69610738,1317104,1
4,1,2,60,20,0,676168421,0,1500274,65196624,1325868,1
4,1,2,60,60,0,344076115,0,41585518,30253582,726160,1
4,1,2,60,30,0,244295904,0,2500986,68627706,1317104,1
4,1,2,120,0,0,798112150,0,2500306,67185337,1903040,1
4,1,2,120,2,0,294296873,0,2500785,65575695,1317104,1
4,1,2,120,5,0,291889680,0,1500384,64740484,1372192,1
4,1,2,120,10,0,1010193046,0,1500650,69308235,1317104,1
4,1,2,120,20,0,1734202799,0,2501840,69600327,1317104,1
4,1,2,120,30,0,514909066,0,6501878,54314098,1317104,1
4,1,2,120,60,0,1057486868,0,2501525,67105762,1898032,1
