baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median
2,1,2,120,20,0,1,1,1500843.0,1500843.0,1500843.0,64695372.0,0.0,1317104.0
2,1,2,120,30,0,1,1,1500585.0,1500585.0,1500585.0,66096866.0,0.0,1317104.0
2,1,2,120,60,0,1,1,1501022.0,1501022.0,1501022.0,66158451.0,0.0,1317104.0
3,0,1,30,0,0,1,1,6500450.0,6500450.0,6500450.0,192226631.0,0.0,764972.0
3,0,1,30,2,0,1,1,7533181.0,7533181.0,7533181.0,186043722.0,0.0,1297072.0
3,0,1,30,5,0,1,1,7545705.0,7545705.0,7545705.0,192848860.0,0.0,1317104.0
3,0,1,30,10,0,1,1,8537598.0,8537598.0,8537598.0,185827470.0,0.0,1469903.0
3,0,1,30,20,0,1,1,7519196.0,7519196.0,7519196.0,181941353.0,0.0,1308395.0
3,0,1,30,30,0,1,0,0.0,0.0,0.0,3055855.0,0.0,10377.0
3,0,1,60,0,0,1,1,6501379.0,6501379.0,6501379.0,151831882.0,0.0,764972.0
3,0,1,60,2,0,1,1,8511461.0,8511461.0,8511461.0,164061612.0,0.0,1308395.0
3,0,1,60,5,0,1,1,8529573.0,8529573.0,8529573.0,181203783.0,0.0,1324726.0
3,0,1,60,10,0,1,1,7545977.0,7545977.0,7545977.0,191215089.0,0.0,1277040.0
3,0,1,60,20,0,1,1,7537905.0,7537905.0,7537905.0,186335432.0,0.0,1325923.0
3,0,1,60,30,0,1,1,7520247.0,7520247.0,7520247.0,186894341.0,0.0,1323364.0
3,0,1,60,60,0,1,0,0.0,0.0,0.0,3049796.0,0.0,10377.0
3,0,1,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,1,120,60,0,1,1,8528691.0,8528691.0,8528691.0,149225434.0,0.0,1360924.0
3,0,2,30,0,0,1,0,0.0,0.0,0.0,3812153.0,0.0,34237967.0
3,0,2,30,2,0,1,0,0.0,0.0,0.0,2581627.0,0.0,30669307.0
3,0,2,30,5,0,1,1,5640859.0,5640859.0,5640859.0,4131761.0,0.0,26411155.0
3,0,2,30,10,0,1,0,0.0,0.0,0.0,2786334.0,0.0,30147488.0
3,0,2,30,20,0,1,0,0.0,0.0,0.0,1504939.0,0.0,29811760.0
3,0,2,30,30,0,1,0,0.0,0.0,0.0,962282.0,0.0,11268.0
3,0,2,60,0,0,1,0,0.0,0.0,0.0,3305743.0,0.0,29936198.0
3,0,2,60,2,0,1,0,0.0,0.0,0.0,1824055.0,0.0,29674092.0
3,0,2,60,5,0,1,0,0.0,0.0,0.0,827874.0,0.0,56993293.0
3,0,2,60,10,0,1,0,0.0,0.0,0.0,1627454.0,0.0,27243807.0
3,0,2,60,20,0,1,0,0.0,0.0,0.0,2560407.0,0.0,32921655.0
3,0,2,60,30,0,1,0,0.0,0.0,0.0,3060328.0,0.0,30519001.0
3,0,2,60,60,0,1,0,0.0,0.0,0.0,964701.0,0.0,11268.0
3,0,2,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
3,0,2,120,60,0,1,0,0.0,0.0,0.0,2589778.0,0.0,33973242.0
3,1,2,30,0,0,1,1,1500451.0,1500451.0,1500451.0,68932276.0,0.0,1317104.0
3,1,2,30,2,0,1,1,9695218.0,9695218.0,9695218.0,62106911.0,0.0,1317104.0
3,1,2,30,5,0,1,1,23136654.0,23136654.0,23136654.0,51659930.0,0.0,6228700.0
3,1,2,30,10,0,1,1,14706173.0,14706173.0,14706173.0,54437772.0,0.0,2128400.0
3,1,2,30,20,0,1,1,7691917.0,7691917.0,7691917.0,63058276.0,0.0,1317104.0
3,1,2,30,30,0,1,0,0.0,0.0,0.0,954394.0,0.0,16637.0
3,1,2,60,0,0,1,1,1500885.0,1500885.0,1500885.0,64804364.0,0.0,1317104.0
3,1,2,60,2,0,1,1,6923243.0,6923243.0,6923243.0,60798306.0,0.0,1317104.0
3,1,2,60,5,0,1,1,11939527.0,11939527.0,11939527.0,58588203.0,0.0,1422272.0
3,1,2,60,10,0,1,1,13658307.0,13658307.0,13658307.0,55102443.0,0.0,1732768.0
3,1,2,60,20,0,1,1,11678081.0,11678081.0,11678081.0,57572956.0,0.0,1317104.0
3,1,2,60,30,0,1,1,19763049.0,19763049.0,19763049.0,55856767.0,0.0,4389512.0
3,1,2,60,60,0,1,0,0.0,0.0,0.0,952795.0,0.0,16637.0
3,1,2,120,0,0,1,1,9504208.0,9504208.0,9504208.0,65225749.0,0.0,1317104.0
3,1,2,120,2,0,1,1,13653863.0,13653863.0,13653863.0,54767396.0,0.0,1732768.0
3,1,2,120,5,0,1,0,0.0,0.0,0.0,7063543.0,0.0,12882663.0
3,1,2,120,10,0,1,1,15662865.0,15662865.0,15662865.0,55099967.0,0.0,2194754.0
3,1,2,120,20,0,1,1,11680365.0,11680365.0,11680365.0,58716906.0,0.0,1411004.0
3,1,2,120,30,0,1,1,7724387.0,7724387.0,7724387.0,63169480.0,0.0,1317104.0
3,1,2,120,60,0,1,1,6706271.0,6706271.0,6706271.0,64384135.0,0.0,1317104.0
4,0,1,30,0,0,1,1,9502023.0,9502023.0,9502023.0,179871287.0,0.0,764972.0
4,0,1,30,2,0,1,1,9501908.0,9501908.0,9501908.0,179870069.0,0.0,764972.0
4,0,1,30,5,0,1,1,9502023.0,9502023.0,9502023.0,179871287.0,0.0,764972.0
4,0,1,30,10,0,1,1,9501924.0,9501924.0,9501924.0,179870069.0,0.0,764972.0
4,0,1,30,20,0,1,1,9501919.0,9501919.0,9501919.0,179871287.0,0.0,764972.0
4,0,1,30,30,0,1,1,8502414.0,8502414.0,8502414.0,173806468.0,0.0,600960.0
4,0,1,60,0,0,1,1,9500906.0,9500906.0,9500906.0,151831882.0,0.0,764972.0
4,0,1,60,2,0,1,1,9501402.0,9501402.0,9501402.0,151851370.0,0.0,764972.0
4,0,1,60,5,0,1,1,9501425.0,9501425.0,9501425.0,151851370.0,0.0,764972.0
4,0,1,60,10,0,1,1,9501324.0,9501324.0,9501324.0,151851370.0,0.0,764972.0
4,0,1,60,20,0,1,1,9500903.0,9500903.0,9500903.0,151831882.0,0.0,764972.0
4,0,1,60,30,0,1,1,9501350.0,9501350.0,9501350.0,151851356.0,0.0,764972.0
4,0,1,60,60,0,1,1,3501504.0,3501504.0,3501504.0,180462896.0,0.0,600960.0
4,0,1,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,1,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
4,0,2,30,0,0,1,1,2502390.0,2502390.0,2502390.0,55772571.0,0.0,910204.0
4,0,2,30,2,0,1,1,2502704.0,2502704.0,2502704.0,57332741.0,0.0,908952.0
4,0,2,30,5,0,1,1,2502390.0,2502390.0,2502390.0,55772571.0,0.0,910204.0
4,0,2,30,10,0,1,1,2502721.0,2502721.0,2502721.0,55966099.0,0.0,908952.0
