baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
2,1,0,30,10,0,260329455,0,500014,343231531,1317104,1,49922470,72455
2,1,0,30,20,0,1729245242,0,500021,343240033,1317104,1,49922467,75925
2,1,0,60,0,0,469306919,0,500021,304314277,1317104,1,49920690,69633
2,1,0,60,2,0,1067970820,0,500025,304946419,1317104,1,49921026,69595
2,1,0,60,5,0,822873088,0,500157,306065761,1317104,1,49924152,72812
2,1,0,60,10,0,816941039,0,500240,304423909,1317104,1,49921026,78510
2,1,0,60,60,0,1811967841,0,0,24339723,27544,0,3558540,7893
2,1,0,60,20,0,1926780541,0,500096,304568851,1317104,1,49921362,74503
2,1,0,60,30,0,602078388,0,500024,304678471,1317104,1,49921362,72896
2,1,0,120,0,0,788075126,0,2500287,78772747,1317104,1,4406564,4406564
2,1,0,120,2,0,1196342297,0,500039,78810505,1317104,1,15699284,15699284
2,1,0,120,5,0,1986972437,0,500053,78847045,1317104,1,31525240,0
2,1,0,120,10,0,1072910527,0,500310,78918907,1317104,1,31700632,0
2,1,0,120,20,0,323775634,0,500185,79065067,1317104,1,16547012,16547012
2,1,0,120,30,0,1903232052,0,500004,79178341,1317104,1,16970876,16970876
2,1,2,30,0,0,217275224,0,1501206,62748234,1317104,1,10163802,2750770
2,1,2,30,2,0,63384488,0,1500601,66101490,1317104,1,10027288,86304
2,1,2,30,5,0,400560567,0,1500616,64730839,1317104,1,10183351,3313505
2,1,2,30,10,0,1015242176,0,1500920,65083739,1317104,1,10198358,3245284
2,1,2,30,30,0,1745535098,0,0,3501703,41316,0,535909,4052
2,1,0,120,60,0,420514789,0,500117,79575421,1317104,1,18705356,18705356
2,1,2,30,20,0,714300770,0,1500602,66270350,1317104,1,10201810,3003529
2,1,2,60,0,0,2085812759,0,1500926,66458334,1317104,1,10033306,80929
2,1,2,60,2,0,2067418686,0,1500178,69297438,1317104,1,10198456,2653774
2,1,2,60,5,0,918037633,0,15504218,63789506,1317104,1,10174086,2974081
2,1,2,60,10,0,1722454917,0,1500597,64847867,1317104,1,10192913,1014239
2,1,2,60,60,0,1627677155,0,0,3504143,41316,0,536180,4912
2,1,2,60,20,0,251837136,0,1500753,64433346,1317104,1,10126059,1807190
2,1,2,60,30,0,707111048,0,1500929,64304214,1317104,1,10021872,80007
2,1,2,120,0,0,9257255,0,8503423,64277752,1317104,1,10037641,78570
2,1,2,120,2,0,1676848676,0,1500944,64873030,1317104,1,10190489,2705846
2,1,2,120,5,0,1139038460,0,1500958,63384798,1317104,1,10173692,1683239
2,1,2,120,10,0,1954246074,0,1501215,64249030,1317104,1,10179394,2261477
2,1,2,120,20,0,1225136114,0,1500843,64695372,1317104,1,10183361,3312775
2,1,2,120,30,0,1816803306,0,1500585,66096866,1317104,1,10024365,82762
2,2,1,30,0,0,664847319,0,1500256,204432841,1638720,1,30237499,155650
2,2,1,30,2,0,815605132,0,1500587,204532646,1638720,1,30236564,141030
2,2,1,30,5,0,1274350418,0,1500549,204901023,1638720,1,30239686,162699
2,1,2,120,60,0,2090237817,0,1501022,66158451,1317104,1,10021061,83030
2,2,1,30,10,0,935018220,0,500345,205306934,1638720,1,30252184,154778
2,2,1,30,30,0,261810763,0,1502211,202717593,1638720,1,30029736,1647390
2,2,1,30,20,0,251183830,0,1500354,203991412,1638720,1,30020678,1140120
2,2,1,60,0,0,1346922426,0,2500150,204926277,1638720,1,30223438,123977
2,2,1,60,2,0,245522987,0,2501850,203649625,1638720,1,30217190,131872
2,2,1,60,5,0,215359682,0,1500831,205464763,1638720,1,30216877,121471
2,2,1,60,10,0,2047791082,0,1500160,205511150,1638720,1,30212815,119191
2,2,1,60,30,0,244295904,0,1500710,205639097,1638720,1,30214065,112695
2,2,1,60,20,0,676168421,0,500769,206188503,1638720,1,30211878,113526
2,2,1,60,60,0,344076115,0,1506706,202828655,1638720,1,30021616,1643162
2,2,1,120,0,0,798112150,0,1500658,204262704,1638720,1,30230309,142041
2,2,1,120,2,0,294296873,0,1500415,204269726,1638720,1,30229684,142921
2,2,1,120,5,0,291889680,0,1500984,204590280,1638720,1,30234996,141290
2,2,1,120,10,0,1010193046,0,1500786,204671827,1638720,1,30093782,890882
2,2,1,120,20,0,1734202799,0,500326,205610569,1638720,1,30226248,125982
2,2,1,120,30,0,514909066,0,1500935,206656970,1638720,1,30217189,113926
2,2,1,120,60,0,1057486868,0,1500693,206010295,1638720,1,30209066,122592
3,0,2,30,5,0,1800557283,0,5640859,4131761,26411155,1,116116,678763
3,0,2,30,2,0,352116052,0,0,2581627,30669307,0,0,0
3,0,2,30,0,0,170689150,0,0,3812153,34237967,0,0,0
3,0,2,30,30,0,877286584,0,0,962282,11268,0,148414,24638
3,0,2,30,10,0,1358798143,0,0,2786334,30147488,0,0,0
3,0,2,30,20,0,1119980130,0,0,1504939,29811760,0,0,0
3,0,2,60,0,0,1349409434,0,0,3305743,29936198,0,0,0
3,0,2,60,2,0,1025148381,0,0,1824055,29674092,0,2436,10768
3,0,2,60,10,0,1699887270,0,0,1627454,27243807,0,4872,24360
3,0,2,60,20,0,562117925,0,0,2560407,32921655,0,151,896
3,0,2,60,60,0,1963764597,0,0,964701,11268,0,147873,15008
3,0,2,60,5,0,1140805649,0,0,827874,56993293,0,82,345
3,0,2,60,30,0,1288477634,0,0,3060328,30519001,0,0,0
3,0,2,120,0,0,1357970698,0,0,524288000,764972,0,0,0
3,0,2,120,2,0,311570307,0,0,524288000,764972,0,0,0
3,0,2,120,5,0,40009587,0,0,524288000,764972,0,0,0
3,0,2,120,10,0,1968321319,0,0,524288000,764972,0,0,0
3,0,2,120,20,0,429416213,0,0,524288000,764972,0,0,0
3,0,2,120,30,0,314652384,0,0,524288000,764972,0,0,0
3,2,0,30,0,0,1139027119,0,2500535,338953040,1638720,1,50345475,73347
3,2,0,30,2,0,568896616,0,1768798,343438287,1712160,1,50345478,70997
3,2,0,30,5,0,1498981529,0,1752441,343414413,1738080,1,50345793,70402
3,2,0,30,10,0,295456419,0,2709857,336579848,1638720,1,50345165,66401
3,2,0,30,20,0,1049193572,0,2610587,336689504,1638720,1,50349227,71449
3,2,0,30,30,0,1587106770,0,1720452,343934582,1638720,1,50349227,71152
3,2,0,60,0,0,1224011538,0,2500468,337854971,1638720,1,50350167,67890
3,2,0,60,2,0,677517496,0,2697128,336515196,1638720,1,50349542,67364
3,2,0,60,5,0,1881988384,0,2703478,336925734,1638720,1,50349542,70280
3,2,0,60,10,0,1299301222,0,1717767,343743409,1717920,1,50348914,63121
3,0,2,120,60,0,915490795,0,0,2589778,33973242,0,0,0
3,2,0,60,30,0,1285821930,0,1588117,344761241,1808640,1,50344853,68289
3,2,0,60,20,0,33599984,0,1583412,344738772,1804320,1,50344850,73289
3,2,0,60,60,0,444900634,0,2586209,334534083,1638720,1,50349230,70352
3,2,0,120,0,0,576775951,0,2500946,338282418,1638720,1,50348914,74585
3,2,0,120,2,0,1135872495,0,1721416,343732136,1971360,1,50349230,71961
3,2,0,120,5,0,495762348,0,1700447,343957059,1779840,1,50351099,74132
3,2,0,120,20,0,667643690,0,2755897,336900413,1638720,1,50349224,72542
3,2,0,120,10,0,459716009,0,2756148,335200573,1638720,1,50349227,74282
3,2,0,120,30,0,1169726681,0,2763549,336198821,1638720,1,50348914,69141
3,2,0,120,60,0,1210133979,0,2710523,336533461,1638720,1,50349230,69129
3,0,1,30,0,0,904647469,0,6500450,192226631,764972,1,28342393,2508496
3,0,1,30,2,0,1472659626,0,7533181,186043722,1297072,1,30060674,120672
3,0,1,30,10,0,1133802214,0,8537598,185827470,1469903,1,30057758,119666
3,0,1,30,30,0,1078557553,0,0,3055855,10377,0,456864,4545
3,0,1,30,5,0,874443787,0,7545705,192848860,1317104,1,30070689,118915
3,0,1,30,20,0,2098228320,0,7519196,181941353,1308395,1,30068526,133850
3,0,1,60,0,0,218179599,0,6501379,151831882,764972,1,28198568,2929837
3,0,1,60,2,0,396418889,0,8511461,164061612,1308395,1,30068797,110778
3,0,1,60,5,0,1819244083,0,8529573,181203783,1324726,1,30070418,135467
3,0,1,60,30,0,15228622,0,7520247,186894341,1323364,1,30069338,115325
3,0,1,60,60,0,1432614422,0,0,3049796,10377,0,457134,5422
3,0,1,60,20,0,189351213,0,7537905,186335432,1325923,1,30061760,119204
3,0,1,60,10,0,1188332531,0,7545977,191215089,1277040,1,30070150,117387
3,0,1,120,0,0,561866144,0,0,524288000,764972,0,0,0
3,0,1,120,2,0,1125089309,0,0,524288000,764972,0,0,0
3,0,1,120,5,0,693989311,0,0,524288000,764972,0,0,0
3,0,1,120,10,0,1897669065,0,0,524288000,764972,0,0,0
3,0,1,120,20,0,1836901321,0,0,524288000,764972,0,0,0
3,0,1,120,30,0,41531046,0,0,524288000,764972,0,0,0
3,1,0,30,0,0,323169889,0,500301,343742411,1835432,1,49918681,73901
3,0,1,120,60,0,480494664,0,8528691,149225434,1360924,1,29442694,2506596
3,1,0,30,2,0,640183291,0,1542132,339789555,1317104,1,49918681,74147
3,1,0,30,20,0,636057975,0,1522016,340514253,1317104,1,49922467,74819
3,1,0,30,10,0,1585770584,0,1578227,339858969,1317104,1,49922738,69336
3,1,0,30,5,0,154739678,0,1520099,340407081,1317104,1,49918681,78703
3,1,0,30,30,0,1845919895,0,0,26617216,28796,0,3944388,11560
3,1,0,60,0,0,547374338,0,500021,304314277,1851708,1,49926402,75874
3,1,0,60,2,0,179653598,0,1572667,311375977,1317104,1,49922043,73381
3,1,0,60,5,0,1323959527,0,1559900,322562899,1317104,1,49925595,71450
3,1,0,60,10,0,1566166314,0,1543577,340275537,1317104,1,49922744,74656
3,1,0,60,30,0,1536778950,0,1565069,340128160,1317104,1,49918410,75138
3,1,0,60,20,0,171347175,0,1506942,340240203,1317104,1,49922741,75432
3,1,0,60,60,0,902271852,0,0,24039163,27544,0,3558810,13961
3,1,0,120,0,0,1071722055,0,500047,78772747,1824164,1,23832728,0
3,1,0,120,2,0,441495235,0,1543346,85946501,1317104,1,12592128,0
3,1,0,120,5,0,1519038154,0,1521362,97172405,1317104,1,220268,220268
3,1,0,120,10,0,1745377599,0,1552806,115899706,1317104,1,2099924,2099924
3,1,0,120,20,0,663801533,0,1506015,153393285,1317104,1,43107349,16673148
3,1,0,120,30,0,1016779084,0,1564273,190793066,1317104,1,49927884,80110
3,1,2,30,0,0,760434128,0,1500451,68932276,1317104,1,10201844,2869737
3,1,2,30,2,0,1770791023,0,9695218,62106911,1317104,1,10191106,2016736
3,1,2,30,10,0,770348179,0,14706173,54437772,2128400,1,10196680,2111550
3,1,2,30,5,0,106456634,0,23136654,51659930,6228700,1,10714663,8287334
3,1,2,30,30,0,1768294570,0,0,954394,16637,0,148233,4061
3,1,2,30,20,0,1426725702,0,7691917,63058276,1317104,1,10201825,3974278
3,1,0,120,60,0,697939765,0,1548673,303141883,1317104,1,49924801,74346
3,1,2,60,0,0,1065870178,0,1500885,64804364,1317104,1,9774194,3230221
3,1,2,60,5,0,683749521,0,11939527,58588203,1422272,1,10202809,3594051
3,1,2,60,2,0,1145921803,0,6923243,60798306,1317104,1,10056888,6660059
3,1,2,60,10,0,464267175,0,13658307,55102443,1732768,1,10200350,3146215
3,1,2,60,60,0,2021598245,0,0,952795,16637,0,148150,4074
3,1,2,60,30,0,166320906,0,19763049,55856767,4389512,1,10760686,3427679
3,1,2,60,20,0,1643004186,0,11678081,57572956,1317104,1,10006777,3740451
3,1,2,120,0,0,955345537,0,9504208,65225749,1317104,1,10202284,1558366
3,1,2,120,2,0,857158768,0,13653863,54767396,1732768,1,10202100,2633202
3,1,2,120,5,0,1976987348,0,0,7063543,12882663,0,3789,16399
3,1,2,120,20,0,1310784794,0,11680365,58716906,1411004,1,10202803,3455105
3,1,2,120,10,0,1501771491,0,15662865,55099967,2194754,1,10202418,3331745
3,1,2,120,30,0,977515194,0,7724387,63169480,1317104,1,10201604,3037296
3,2,1,30,0,0,101637979,0,2500435,202204309,1638720,1,30246560,157814
3,1,2,120,60,0,957449367,0,6706271,64384135,1317104,1,10201871,3540987
3,2,1,30,2,0,829486135,0,1768696,204372529,2147040,1,30243748,162857
3,2,1,30,5,0,1711398352,0,1752776,204202404,2160000,1,30258745,183684
3,2,1,30,10,0,1409874348,0,3710702,198672647,1638720,1,29954750,1153809
3,2,1,30,20,0,1196591018,0,3610983,198385813,1638720,1,29988804,1640312
3,2,1,30,30,0,298159856,0,1720343,203649856,2088000,1,30020678,1139481
3,2,1,60,0,0,1198832728,0,3500974,203572238,1638720,1,30225938,133749
3,2,1,60,2,0,1508161137,0,3697493,198887757,1638720,1,30217190,124346
3,2,1,60,5,0,1716605598,0,3704337,199403717,1638720,1,30216874,121337
3,2,1,60,10,0,1422277848,0,1718041,205241364,2160000,1,30209066,124819
3,2,1,60,20,0,118543408,0,1583550,205921858,2148480,1,30210004,122675
3,2,1,60,30,0,495389030,0,1588294,205078294,2148480,1,30229375,132741
3,2,1,60,60,0,1121910732,0,5593326,191050699,1638720,1,30024737,1639439
3,2,1,120,0,0,766942939,0,2500517,201468984,1638720,1,30232812,134724
3,2,1,120,2,0,1140169349,0,1721318,204272713,2293920,1,30235936,149291
3,2,1,120,5,0,164313410,0,1700472,204406234,2147040,1,30242810,143154
3,2,1,120,10,0,465585404,0,3756879,197671596,1638720,1,29975993,1658032
