Starting test number 345, bbr_sat_fairness_f1_sweep
scenario,lead_time_s,t_s,flow1_rate_bps,flow2_rate_bps,jains_index
F1,20,23,5083184,4678152,0.9983
F1,20,24,4880712,4891952,1.0000
F1,20,25,4846976,4925712,0.9999
F1,20,26,4363384,4408456,1.0000
F1,20,27,4993184,4779480,0.9995
F1,20,28,4948128,4622000,0.9988
F1,20,29,5049344,4914464,0.9998
F1,20,30,4970672,4801872,0.9997
F1,20,31,955800,888320,0.9987
F1,20,32,1146816,1124240,0.9999
F1,20,33,1079248,1113016,0.9998
F1,20,34,1079328,1124416,0.9996
F1,20,35,1135568,1281872,0.9964
F1,20,36,989344,1113152,0.9965
F1,20,37,944352,955840,1.0000
F1,20,38,1079488,1428096,0.9810
F1,20,39,1090656,1248072,0.9955
F1,20,40,1236744,1281872,0.9997
F1,20,41,1146896,1439264,0.9874
F1,20,42,1169312,1270544,0.9983
F1,20,43,1191888,1281872,0.9987
F1,20,44,1169392,1484256,0.9861
F1,20,45,1146816,1293040,0.9964
F1,20,46,1191808,1259376,0.9992
F1,20,47,1158144,1518000,0.9822
F1,20,48,1146896,1293040,0.9964
F1,20,49,1180560,1259376,0.9990
F1,20,50,1248048,1439216,0.9950
F1,20,51,1079408,1360528,0.9869
F1,20,52,1191808,1248128,0.9995
F1,20,53,1248128,1383024,0.9974
F1,20,54,1068160,1428016,0.9796
F1,20,55,1169312,1270544,0.9983
F1,20,56,1293120,1293120,1.0000
F1,20,57,1068160,1473008,0.9752
F1,20,58,1169392,1270544,0.9983
F1,20,59,1270544,1281872,1.0000
F1,20,60,1135648,1439264,0.9863
F1,20,61,1169392,1270544,0.9983
F1,20,62,1203056,1281872,0.9990
F1,20,63,1169392,1473008,0.9870
F1,20,64,1135648,1304288,0.9952
F1,20,65,1203056,1248128,0.9997
F1,20,66,1146896,1529168,0.9800
F1,20,67,1158144,1281872,0.9974
F1,20,68,1180640,1259376,0.9990
F1,20,69,1236800,1450512,0.9937
F1,20,70,1090656,1349280,0.9889
F1,20,71,1180640,1259376,0.9990
F1,20,72,1259376,1383024,0.9978
F1,20,73,1068160,1416768,0.9807
F1,20,74,1169312,1270544,0.9983
F1,20,75,1281872,1304368,0.9999
F1,20,76,1068160,1473008,0.9752
F1,20,77,1169296,1270544,0.9983
F1,20,78,1281824,1281872,1.0000
F1,20,79,1124400,1439264,0.9851
F1,20,80,1169392,1270544,0.9983
F1,20,81,1214304,1281872,0.9993
F1,20,82,1169392,1461760,0.9878
F1,20,83,1135648,1304288,0.9952
F1,20,84,1203056,1248128,0.9997
F1,20,85,1146896,1529168,0.9800
F1,20,86,1158144,1281872,0.9974
F1,20,87,1180640,1259376,0.9990
F1,20,88,1225552,1461760,0.9923
F1,20,89,1101904,1338032,0.9907
F1,20,90,1169392,1270624,0.9983
F1,30,1,3946608,4025376,0.9999
F1,30,2,5019160,4760320,0.9993
F1,30,3,4949936,4668624,0.9991
F1,30,4,5071920,4700736,0.9986
F1,30,5,4992976,4779456,0.9995
F1,30,6,5015552,4745720,0.9992
F1,30,7,5083176,4689288,0.9984
F1,30,8,4948120,4824456,0.9998
F1,30,9,4487032,4228544,0.9991
F1,30,10,4914440,4858064,1.0000
F1,30,11,4678248,4790704,0.9999
F1,30,12,5341664,4734488,0.9964
F1,30,13,4993176,4768224,0.9995
F1,30,14,4093440,4082184,1.0000
F1,30,15,4993168,4768192,0.9995
F1,30,16,4970592,4801984,0.9997
F1,30,17,4903176,4858088,1.0000
F1,30,18,4858192,4914456,1.0000
F1,30,19,5026816,4745736,0.9992
F1,30,20,4385864,4295904,0.9999
F1,30,21,4824432,4734464,0.9999
F1,30,22,5240504,4745728,0.9976
F1,30,23,5173168,4588168,0.9964
F1,30,24,5038104,4734504,0.9990
F1,30,25,5004432,4768256,0.9994
F1,30,26,4498328,4205904,0.9989
F1,30,27,5026936,4745720,0.9992
F1,30,28,4532072,4678216,0.9997
F1,30,29,5746616,4576952,0.9873
F1,30,30,5105656,4666848,0.9980
F1,30,31,944472,809632,0.9941
F1,30,32,1068160,1011840,0.9993
F1,30,33,1034336,1034352,1.0000
F1,30,34,1034336,966944,0.9989
F1,30,35,1079328,1180640,0.9980
F1,30,36,1011920,922016,0.9978
F1,30,37,1000672,955760,0.9995
F1,30,38,1079328,1169472,0.9984
F1,30,39,1169312,1000696,0.9940
F1,30,40,1113072,1270624,0.9957
F1,30,41,1045584,1270624,0.9906
F1,30,42,1180560,1000672,0.9932
F1,30,43,1124320,1214464,0.9985
F1,30,44,1034336,1338032,0.9839
F1,30,45,1191728,989504,0.9915
F1,30,46,1113152,1203136,0.9985
F1,30,47,1045584,1293120,0.9889
F1,30,48,1169232,1056912,0.9975
F1,30,49,1124320,1169392,0.9996
F1,30,50,1101904,1259376,0.9956
F1,30,51,1112992,1124480,1.0000
F1,30,52,1135568,1101904,0.9998
F1,30,53,1090576,1315616,0.9913
F1,30,54,1101904,1146896,0.9996
F1,30,55,1191808,1023248,0.9942
F1,30,56,1090576,1315536,0.9913
F1,30,57,1090576,1180640,0.9984
F1,30,58,1169312,1023248,0.9956
F1,30,59,1101824,1281872,0.9943
F1,30,60,1056832,1259376,0.9924
F1,30,61,1180560,1000752,0.9933
F1,30,62,1124320,1225632,0.9981
F1,30,63,1023168,1338032,0.9825
F1,30,64,1202976,978256,0.9895
F1,30,65,1113152,1203136,0.9985
F1,30,66,1034336,1304368,0.9868
F1,30,67,1180560,1045664,0.9963
F1,30,68,1124320,1180640,0.9994
F1,30,69,1090576,1259376,0.9949
F1,30,70,1124320,1113232,1.0000
F1,30,71,1135568,1113152,0.9999
F1,30,72,1090576,1304368,0.9921
F1,30,73,1101904,1146896,0.9996
F1,30,74,1180560,1034496,0.9957
F1,30,75,1101824,1315536,0.9922
F1,30,76,1090576,1169392,0.9988
F1,30,77,1169312,1023248,0.9956
F1,30,78,1101824,1293088,0.9937
F1,30,79,1056832,1248128,0.9932
F1,30,80,1180560,1011920,0.9941
F1,30,81,1124320,1225632,0.9981
F1,30,82,1011920,1338112,0.9811
F1,30,83,1203056,978256,0.9895
F1,30,84,1124320,1191888,0.9991
F1,30,85,1023072,1315616,0.9846
F1,30,86,1191760,1034416,0.9950
F1,30,87,1124320,1191888,0.9991
F1,30,88,1079328,1259376,0.9941
F1,30,89,1135568,1101984,0.9998
F1,30,90,1124320,1124400,1.0000
    Success.
