baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,2,30,20,0,196814233,4,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,978815630,5,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,1242911821,6,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,342703921,7,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,999829240,8,12551146,2255763,12845212,1,22,131
0,0,2,30,20,0,433797840,9,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1632629719,0,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1193887545,1,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1947382419,2,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1566942273,3,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,698594025,4,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1525876051,6,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1589915144,5,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,899825838,7,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,1146660997,8,12551146,2255763,12845212,1,22,131
0,0,2,30,30,0,306671447,9,12551146,2255763,12845212,1,22,131
0,0,2,60,0,0,735034881,0,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,701808367,2,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,1051454923,1,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,1985392498,3,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,1629748727,4,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,1159417075,5,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,943239974,6,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,1392783743,7,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,240251661,8,12618887,2461214,12884043,1,466,1803
0,0,2,60,0,0,983753977,9,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,137869475,0,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,1354860540,1,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,1722989659,2,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,1149938334,3,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,284277889,4,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,906164396,5,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,913224047,7,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,1351531223,6,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,2144181937,8,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1970753705,0,12618887,2461214,12884043,1,466,1803
0,0,2,60,2,0,1699226064,9,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,613628803,1,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,599707677,3,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1137651678,2,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1059257080,4,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1128466620,5,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1840109255,6,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1715412119,7,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,1554762903,8,12618887,2461214,12884043,1,466,1803
0,0,2,60,5,0,941975480,9,12618887,2461214,12884043,1,466,1803
0,0,2,60,10,0,594130308,0,12618887,2461214,12884043,1,466,1803
